title,price,location,condition,url
Samsung Galaxy s8 plus- problem,119 lv.,"Abdovitsa, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-s8-plus-problem-CID632-ID8oxfs.html
"Redmi note7 kutiya,garantsiya",220 lv.,"Kartala, gr. Veliko Tarnovo, Oblast Veliko Tarnovo",izpolzvano,https://www.olx.bg/ad/redmi-note7-kutiya-garantsiya-CID632-ID8gWQD.html
Samsung galaxy note 2,40 lv.,"Vastanicheski, gr. Plovdiv, Oblast Plovdiv",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-note-2-CID632-ID8q7TG.html
Google Pixel 4 128/6,699 lv.,"Lyulin 9, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/google-pixel-4-128-6-CID632-ID8q7TW.html
Chisto nov telefon,200 lv.,"Dobrudzhanski, gr. Shumen, Oblast Shumen",novo,https://www.olx.bg/ad/chisto-nov-telefon-CID632-ID8q7Tb.html
Ayfon 7 upotrebyavan,200 lv.,"Hristo Smirnenski, gr. Plovdiv, Oblast Plovdiv",izpolzvano,https://www.olx.bg/ad/ayfon-7-upotrebyavan-CID632-ID8q7UF.html
Samsung Galaxy S20,1110 lv.,"Banishora, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-s20-CID632-ID8q7Tc.html
Huawei mate 20lite,300 lv.,"Vasil Levski, gr. Razgrad, Oblast Razgrad",izpolzvano,https://www.olx.bg/ad/huawei-mate-20lite-CID632-ID8q7Wn.html
Alcatel 3080 4G 24 mesetsa garantsiya + podarak 16GB micro sd,50 lv.,"Yug, gr. Silistra, Oblast Silistra",novo,https://www.olx.bg/ad/alcatel-3080-4g-24-mesetsa-garantsiya-podarak-16gb-micro-sd-CID632-ID8q7Wo.html
Telefon Maizu x8,220 lv.,"Avtogara, gr. Varna, Oblast Varna",izpolzvano,https://www.olx.bg/ad/telefon-maizu-x8-CID632-ID8oshB.html
Huawei p9 lite zlaten,150 lv.,"k.k. Slanchev bryag, Oblast Burgas",izpolzvano,https://www.olx.bg/ad/huawei-p9-lite-zlaten-CID632-ID8q7BL.html
GSM Nokia 1022,60 lv.,"Geo Milev, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/gsm-nokia-1022-CID632-ID8q7CC.html
Huawei p30 pro huavey p30 pro,700 lv.,"Ovcha kupel 2, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/huawei-p30-pro-huavey-p30-pro-CID632-ID8q7CB.html
Xiaomi Redmi Note 8T,260 lv.,"Rodina 2, gr. Ruse, Oblast Ruse",izpolzvano,https://www.olx.bg/ad/xiaomi-redmi-note-8t-CID632-ID8q7CN.html
Telefon Soni Erikson K200,20 lv.,"gr. Polski Trambesh, Oblast Veliko Tarnovo",izpolzvano,https://www.olx.bg/ad/telefon-soni-erikson-k200-CID632-ID8iCqw.html
Telefon HTC desire,30 lv.,"gr. Polski Trambesh, Oblast Veliko Tarnovo",izpolzvano,https://www.olx.bg/ad/telefon-htc-desire-CID632-ID8iCq5.html
Samsung galaxy duos,30 lv.,"gr. Polski Trambesh, Oblast Veliko Tarnovo",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-duos-CID632-ID8iCpq.html
Huawei  P30 LITE,210 lv.,"Banishora, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/huawei-p30-lite-CID632-ID8q7FE.html
Nokia Lumia 610,40 lv.,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/nokia-lumia-610-CID632-ID7W8Mh.html
Huawei - Mate 20,60 lv.,"Ralitsa, gr. Pernik, Oblast Pernik",izpolzvano,https://www.olx.bg/ad/huawei-mate-20-CID632-ID8q7FN.html
Prodavam Huawei Y5 II,80 lv.,"Lyulin 3, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/prodavam-huawei-y5-ii-CID632-ID8olL1.html
Telefon samsung 3100,30 lv.,"gr. Dolni chiflik, Oblast Varna",izpolzvano,https://www.olx.bg/ad/telefon-samsung-3100-CID632-ID8q7H3.html
Nokia 7900 Prism Nokia 8800 Sirocco gold Made in Germany,180 lv.,"7-mi 11-ti kilometar, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/nokia-7900-prism-nokia-8800-sirocco-gold-made-in-germany-CID632-ID73lhJ.html
Stari raboteshti telefonii,20 lv.,"Tsentar, gr. Kardzhali, Oblast Kardzhali",izpolzvano,https://www.olx.bg/ad/stari-raboteschi-telefonii-CID632-ID85ezu.html
Nokiya 5.1,200 lv.,"Tsentar, gr. Pernik, Oblast Pernik",izpolzvano,https://www.olx.bg/ad/nokiya-5-1-CID632-ID8dTBQ.html
Samsung Galaxy s7 edge za chasti,100 lv.,"Tsentar, gr. Haskovo, Oblast Haskovo",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-s7-edge-za-chasti-CID632-ID8fnle.html
Huawei p30 6GB 128GB kato nov,479 lv.,"gr. Provadiya, Oblast Varna",izpolzvano,https://www.olx.bg/ad/huawei-p30-6gb-128gb-kato-nov-CID632-ID8q7Jm.html
Samsung galaxy a80 128gb,699 lv.,"Trakiya, gr. Plovdiv, Oblast Plovdiv",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-a80-128gb-CID632-ID8q7K2.html
Prodavam Lenovo K6,130 lv.,"Izgrev, gr. Burgas, Oblast Burgas",izpolzvano,https://www.olx.bg/ad/prodavam-lenovo-k6-CID632-ID8cnaK.html
Xiaomi Mi 6 6/128 Gb. Ceramic edition. Za chasti/remont.,130 lv.,"gr. Kavarna, Oblast Dobrich",izpolzvano,https://www.olx.bg/ad/xiaomi-mi-6-6-128-gb-ceramic-edition-za-chasti-remont-CID632-ID8n92j.html
"Nokia 7.1, tamnosin, Android 10, 2 sim-karti RAM 4 GB, ROM 64 GB",399 lv.,"v.z. Malinova dolina, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/nokia-7-1-tamnosin-android-10-2-sim-karti-ram-4-gb-rom-64-gb-CID632-ID8kMuo.html
Huawei nova smart,10 lv.,"Varosha, gr. Blagoevgrad, Oblast Blagoevgrad",izpolzvano,https://www.olx.bg/ad/huawei-nova-smart-CID632-ID7GwHN.html
Samsung s9 plus,450 lv.,"Simeonovo, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/samsung-s9-plus-CID632-ID8ovDU.html
Samsung Galaxy A10,140 lv.,"gr. Kazanlak, Oblast Stara Zagora",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-a10-CID632-ID8q7og.html
Samsung A6+ 2018,150 lv.,"Tsentralen yuzhen rayon, gr. Ruse, Oblast Ruse",izpolzvano,https://www.olx.bg/ad/samsung-a6-2018-CID632-ID8q7nG.html
PROMOTsIYa! Huawei Y7 2019 DUAL,240 lv.,"Tsentar, gr. Pernik, Oblast Pernik",izpolzvano,https://www.olx.bg/ad/promotsiya-huawei-y7-2019-dual-CID632-ID8oHfg.html
Huawei y6p chisto nov,260 lv.,"s. Samoranovo, Oblast Kyustendil",novo,https://www.olx.bg/ad/huawei-y6p-chisto-nov-CID632-ID8q7oS.html
PROMO! Huawei p20 s garantsiya,260 lv.,"Idealen tsentar, gr. Montana, Oblast Montana",izpolzvano,https://www.olx.bg/ad/promo-huawei-p20-s-garantsiya-CID632-ID8kkhG.html
"Telefon Lenovo A1000, Dual Sim, kato nov e, s dve sim karti",70 lv.,"Lozenets, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/telefon-lenovo-a1000-dual-sim-kato-nov-e-s-dve-sim-karti-CID632-ID8q7pc.html
Prodavam telefon sony xperia X,120 lv.,"Bazar Levski, gr. Varna, Oblast Varna",izpolzvano,https://www.olx.bg/ad/prodavam-telefon-sony-xperia-x-CID632-ID8ovNP.html
Samsung galaxy note4,140 lv.,"Meditsinska akademiya, gr. Sofiya, Oblast Sofiya-grad",izpolzvano,https://www.olx.bg/ad/samsung-galaxy-note4-CID632-ID8q7tl.html
