condition,location,price,title,url
novo,"gr. Nova Zagora, Oblast Sliven",299.0,Xiaomi Mi A2 cheren 64GB ROM 4GB RAM DUAL SIM Mobilen telefon (GSM),https://www.olx.bg/ad/xiaomi-mi-a2-cheren-64gb-rom-4gb-ram-dual-sim-mobilen-telefon-gsm-CID632-ID8sj8P.html
izpolzvano,"v.z. Sliven, gr. Sliven, Oblast Sliven",120.0,Huawei p 9 lite perfekten,https://www.olx.bg/ad/huawei-p-9-lite-perfekten-CID632-ID8pkBB.html
izpolzvano,"7-mi 11-ti kilometar, gr. Sofiya, Oblast Sofiya-grad",85.0,Apple iPhone 5 16 GB,https://www.olx.bg/ad/apple-iphone-5-16-gb-CID632-ID8mXdq.html
novo,"Vazrazhdane 3, gr. Varna, Oblast Varna",10.0,Protektor za kamera Huawei mate 20,https://www.olx.bg/ad/protektor-za-kamera-huawei-mate-20-CID632-ID8mKLU.html
izpolzvano,"Slatina, gr. Sofiya, Oblast Sofiya-grad",105.0,Iphone 5s + gamepad,https://www.olx.bg/ad/iphone-5s-gamepad-CID632-ID8ftKd.html
novo,"Nadezhda 2, gr. Sofiya, Oblast Sofiya-grad",999.0,Xiaomi 10T Pro/5G Aurora Blue,https://www.olx.bg/ad/xiaomi-10t-pro-5g-aurora-blue-CID632-ID8sjam.html
novo,"Vazrazhdane, gr. Ruse, Oblast Ruse",330.0,Huawei p40 lite 128 gb Nov,https://www.olx.bg/ad/huawei-p40-lite-128-gb-nov-CID632-ID8sj9V.html
izpolzvano,"Storgoziya, gr. Pleven, Oblast Pleven",160.0,Iphone SE,https://www.olx.bg/ad/iphone-se-CID632-ID8sjaS.html
izpolzvano,"Tsentar, gr. Sofiya, Oblast Sofiya-grad",949.0,Huawei P40 Pro perfekten s garantsiya ! hb,https://www.olx.bg/ad/huawei-p40-pro-perfekten-s-garantsiya-hb-CID632-ID8jTDO.html
novo,"gr. Mezdra, Oblast Vratsa",1.0,Alkatel C1 2019.,https://www.olx.bg/ad/alkatel-c1-2019-CID632-ID8sjb8.html
izpolzvano,"Tsentar, gr. Kardzhali, Oblast Kardzhali",280.0,"IPhone 6S - 64GB, Rose Gold, 100% battery health",https://www.olx.bg/ad/iphone-6s-64gb-rose-gold-100-battery-health-CID632-ID8sjcr.html
izpolzvano,"gr. Petrich, Oblast Blagoevgrad",299.0,Iphone 7 black edition,https://www.olx.bg/ad/iphone-7-black-edition-CID632-ID8sjcx.html
izpolzvano,"Tsentar, gr. Burgas, Oblast Burgas",190.0,Telefon Huawei P8,https://www.olx.bg/ad/telefon-huawei-p8-CID632-ID84mUO.html
izpolzvano,"Storgoziya, gr. Pleven, Oblast Pleven",170.0,Samsung Galaxy A20,https://www.olx.bg/ad/samsung-galaxy-a20-CID632-ID8sjcK.html
izpolzvano,"Druzhba 4, gr. Pleven, Oblast Pleven",330.0,Redmi 8 T,https://www.olx.bg/ad/redmi-8-t-CID632-ID8sjcC.html
izpolzvano,"NPZ Dianabad, gr. Sofiya, Oblast Sofiya-grad",300.0,IPhone 7 32GB,https://www.olx.bg/ad/iphone-7-32gb-CID632-ID84FyR.html
izpolzvano,"v.z. Smolyan, gr. Smolyan, Oblast Smolyan",150.0,Prodavam samsung j6,https://www.olx.bg/ad/prodavam-samsung-j6-CID632-ID8sjd3.html
izpolzvano,"Druzhba, gr. Sliven, Oblast Sliven",50.0,Iphone 4,https://www.olx.bg/ad/iphone-4-CID632-ID8sjdW.html
